IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.138.175,2053,2053,TRUE,SIN,Asia Pacific,Singapore,107,13.22
8.222.236.229,8443,8443,TRUE,SIN,Asia Pacific,Singapore,72,13.22
8.219.167.113,8443,8443,TRUE,SIN,Asia Pacific,Singapore,137,13.21
8.219.72.51,443,443,TRUE,SIN,Asia Pacific,Singapore,109,13.21
47.236.206.153,2053,2053,TRUE,SIN,Asia Pacific,Singapore,38,13.2
47.236.83.239,2053,2053,TRUE,SIN,Asia Pacific,Singapore,100,13.2
8.222.184.198,8443,8443,TRUE,SIN,Asia Pacific,Singapore,75,13.19
8.219.154.107,2053,2053,TRUE,SIN,Asia Pacific,Singapore,49,13.19
47.236.97.90,2083,2083,TRUE,SIN,Asia Pacific,Singapore,128,13.19
47.236.144.196,2053,2053,TRUE,SIN,Asia Pacific,Singapore,106,13.19
47.236.166.184,2053,2053,TRUE,SIN,Asia Pacific,Singapore,172,13.18
8.222.146.222,2053,2053,TRUE,SIN,Asia Pacific,Singapore,119,13.18
47.245.89.102,2096,2096,TRUE,SIN,Asia Pacific,Singapore,88,13.18
8.219.198.34,2096,2096,TRUE,SIN,Asia Pacific,Singapore,153,13.18
8.222.215.228,2096,2096,TRUE,SIN,Asia Pacific,Singapore,70,13.18
47.236.166.84,8443,8443,TRUE,SIN,Asia Pacific,Singapore,159,13.17
8.219.247.203,2083,2083,TRUE,SIN,Asia Pacific,Singapore,145,13.17
8.219.198.34,443,443,TRUE,SIN,Asia Pacific,Singapore,65,13.16
8.222.221.86,443,443,TRUE,SIN,Asia Pacific,Singapore,88,13.16
8.219.142.229,2053,2053,TRUE,SIN,Asia Pacific,Singapore,127,13.16
8.219.233.6,2096,2096,TRUE,SIN,Asia Pacific,Singapore,142,13.15
8.219.114.201,2096,2096,TRUE,SIN,Asia Pacific,Singapore,168,13.15
8.219.206.180,2096,2096,TRUE,SIN,Asia Pacific,Singapore,139,13.14
8.222.208.83,2053,2053,TRUE,SIN,Asia Pacific,Singapore,157,13.14
8.219.123.244,2096,2096,TRUE,SIN,Asia Pacific,Singapore,108,13.14
47.236.10.182,2087,2087,TRUE,SIN,Asia Pacific,Singapore,172,13.13
8.222.252.150,2087,2087,TRUE,SIN,Asia Pacific,Singapore,138,13.13
47.237.8.82,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,13.13
47.236.94.109,2096,2096,TRUE,SIN,Asia Pacific,Singapore,158,13.13
47.236.149.160,2096,2096,TRUE,SIN,Asia Pacific,Singapore,139,13.13
8.222.133.247,8443,8443,TRUE,SIN,Asia Pacific,Singapore,126,13.12
8.219.233.6,8443,8443,TRUE,SIN,Asia Pacific,Singapore,125,13.12
8.219.110.88,2083,2083,TRUE,SIN,Asia Pacific,Singapore,92,13.12
8.222.229.22,2096,2096,TRUE,SIN,Asia Pacific,Singapore,70,13.12
8.219.210.226,2053,2053,TRUE,SIN,Asia Pacific,Singapore,125,13.11
8.219.126.3,2096,2096,TRUE,SIN,Asia Pacific,Singapore,156,13.11
8.219.248.170,8443,8443,TRUE,SIN,Asia Pacific,Singapore,76,13.11
47.236.15.73,2053,2053,TRUE,SIN,Asia Pacific,Singapore,165,13.1
47.236.169.236,2083,2083,TRUE,SIN,Asia Pacific,Singapore,65,13.1
8.222.210.182,443,443,TRUE,SIN,Asia Pacific,Singapore,142,13.1
47.236.130.95,2083,2083,TRUE,SIN,Asia Pacific,Singapore,91,13.1
8.219.123.244,2053,2053,TRUE,SIN,Asia Pacific,Singapore,102,13.09
47.236.146.249,2087,2087,TRUE,SIN,Asia Pacific,Singapore,125,13.09
8.219.147.58,2096,2096,TRUE,SIN,Asia Pacific,Singapore,126,13.09
47.236.97.254,2096,2096,TRUE,SIN,Asia Pacific,Singapore,164,13.09
8.219.194.170,2087,2087,TRUE,SIN,Asia Pacific,Singapore,108,13.08
8.222.238.141,2096,2096,TRUE,SIN,Asia Pacific,Singapore,40,13.08
47.245.110.13,8443,8443,TRUE,SIN,Asia Pacific,Singapore,45,13.08
8.222.208.38,443,443,TRUE,SIN,Asia Pacific,Singapore,257,13.08
8.219.97.179,8443,8443,TRUE,SIN,Asia Pacific,Singapore,191,13.08
47.236.195.137,8443,8443,TRUE,SIN,Asia Pacific,Singapore,146,13.08
8.218.122.55,443,443,TRUE,HKG,Asia Pacific,Hong Kong,50,13.06
8.219.129.38,2087,2087,TRUE,SIN,Asia Pacific,Singapore,91,13.05
8.219.201.245,2083,2083,TRUE,SIN,Asia Pacific,Singapore,120,13.05
8.219.247.53,2053,2053,TRUE,SIN,Asia Pacific,Singapore,117,13.05
8.222.138.164,2087,2087,TRUE,SIN,Asia Pacific,Singapore,112,13.05
47.236.87.206,443,443,TRUE,SIN,Asia Pacific,Singapore,90,13.04
47.236.123.218,2053,2053,TRUE,SIN,Asia Pacific,Singapore,127,13.04
8.219.126.3,2096,2096,TRUE,SIN,Asia Pacific,Singapore,192,13.04
8.219.73.21,2087,2087,TRUE,SIN,Asia Pacific,Singapore,111,13.04
47.236.144.48,2053,2053,TRUE,SIN,Asia Pacific,Singapore,101,13.03
8.219.12.152,8443,8443,TRUE,SIN,Asia Pacific,Singapore,27,13.03
47.236.39.34,2053,2053,TRUE,SIN,Asia Pacific,Singapore,176,13.03
47.236.227.21,2083,2083,TRUE,SIN,Asia Pacific,Singapore,92,13.02
47.236.114.23,8443,8443,TRUE,SIN,Asia Pacific,Singapore,101,13.02
8.222.254.91,2083,2083,TRUE,SIN,Asia Pacific,Singapore,54,13.01
8.219.99.169,8443,8443,TRUE,SIN,Asia Pacific,Singapore,171,13.01
8.219.84.214,2083,2083,TRUE,SIN,Asia Pacific,Singapore,73,13
47.236.124.115,2096,2096,TRUE,SIN,Asia Pacific,Singapore,127,13
