IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.79.74,2086,2086,false,SIN,Asia Pacific,Singapore,9,0.00
8.222.167.8,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.248.170,2052,2052,false,SIN,Asia Pacific,Singapore,9,0.00
8.222.229.102,8880,8880,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.12.152,2052,2052,false,SIN,Asia Pacific,Singapore,9,0.00
8.219.196.24,443,443,true,SIN,Asia Pacific,Singapore,9,0.00
8.219.228.193,2087,2087,true,SIN,Asia Pacific,Singapore,10,0.00
8.222.145.110,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.107.174,8880,8880,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.105.224,8080,8080,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.126.151,2095,2095,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.242.208,2095,2095,false,SIN,Asia Pacific,Singapore,10,0.00
8.222.182.10,2086,2086,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.113.75,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.153.136,8080,8080,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.242.208,2096,2096,true,SIN,Asia Pacific,Singapore,10,0.00
8.219.56.205,8880,8880,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.178.225,2087,2087,true,SIN,Asia Pacific,Singapore,10,0.00
8.219.100.155,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.118.197,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.110.13,2095,2095,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.122.96,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.113.232,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.177.205,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
47.245.80.39,2052,2052,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.142.229,8880,8880,false,SIN,Asia Pacific,Singapore,10,0.00
47.236.169.164,2086,2086,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.177.205,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.00
8.219.89.201,8080,8080,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.178.101,2083,2083,true,SIN,Asia Pacific,Singapore,11,0.00
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.151.193,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.228.186,2086,2086,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.23.135,8080,8080,false,SIN,Asia Pacific,Singapore,11,0.00
47.245.111.171,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.65.11,2086,2086,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.228.157,2053,2053,true,SIN,Asia Pacific,Singapore,11,0.00
47.245.86.230,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.82.218,2095,2095,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.253.18,2087,2087,true,SIN,Asia Pacific,Singapore,11,0.00
8.219.139.86,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.201.174,2053,2053,true,SIN,Asia Pacific,Singapore,11,0.00
8.219.100.155,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.97.248,80,80,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.210.64,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.196.117,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.204.152,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
47.236.194.67,2052,2052,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.87.34,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.222.137.178,2086,2086,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.220.122,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
8.219.72.51,8880,8880,false,SIN,Asia Pacific,Singapore,11,0.00
47.245.113.12,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.170.232,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,12,0.00
8.219.145.245,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.147.58,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.111.171,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.60.68,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.118.70,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.89.102,8880,8880,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.124.115,2082,2082,false,SIN,Asia Pacific,Singapore,12,0.00
8.222.137.192,2095,2095,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.164.215,2086,2086,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.163.221,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
47.245.113.75,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.210.64,8080,8080,false,SIN,Asia Pacific,Singapore,12,0.00
8.219.233.6,2052,2052,false,SIN,Asia Pacific,Singapore,12,0.00
47.236.94.113,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.229.22,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.196.24,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
47.245.84.155,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.7.246,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.75.44,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.228.157,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.125.4,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.151.193,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.245.82.208,2052,2052,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.164.215,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.253.114,2087,2087,true,SIN,Asia Pacific,Singapore,13,0.00
8.222.188.56,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
47.236.193.5,8880,8880,false,SIN,Asia Pacific,Singapore,13,0.00
8.222.137.192,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.67.133,80,80,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.232.219,2086,2086,false,SIN,Asia Pacific,Singapore,13,0.00
47.245.80.39,2082,2082,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,13,0.00
8.219.213.84,2086,2086,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.83.196,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,14,0.00
47.245.115.6,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.228.186,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
47.245.82.78,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.82.218,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.245.187,8443,8443,true,SIN,Asia Pacific,Singapore,14,0.00
8.222.236.229,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.121.24,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.196.117,8443,8443,true,SIN,Asia Pacific,Singapore,14,0.00
47.245.93.74,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
47.245.108.213,2095,2095,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.125.4,80,80,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.202.91,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.198.189,2086,2086,false,SIN,Asia Pacific,Singapore,14,0.00
8.222.159.252,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.103.153,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.155.170,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.228.186,2096,2096,true,SIN,Asia Pacific,Singapore,14,0.00
8.219.74.35,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.71.226,2052,2052,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.65.177,8880,8880,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.175.189,2082,2082,false,SIN,Asia Pacific,Singapore,14,0.00
47.236.7.246,8080,8080,false,SIN,Asia Pacific,Singapore,14,0.00
8.219.174.142,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.178.9,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.94.144,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.148.161,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.86.230,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.17.165,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.113.75,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.236.189.173,8080,8080,false,SIN,Asia Pacific,Singapore,15,0.00
8.219.141.174,8880,8880,false,SIN,Asia Pacific,Singapore,15,0.00
47.245.84.124,2095,2095,false,SIN,Asia Pacific,Singapore,15,0.00
8.222.128.131,2052,2052,false,SIN,Asia Pacific,Singapore,15,0.00
